doc_id,span_text,best_hpo_id,best_hpo_name,score,method,candidates_json
line1,abnormal thalamic signal intensity,HP:0012696,Abnormal thalamic MRI signal intensity,95.0,fuzzy,"[{""hpo_id"": ""HP:0012696"", ""name"": ""Abnormal thalamic MRI signal intensity"", ""score"": 95.0, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001658"", ""name"": ""Myocardial infarction"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012824"", ""name"": ""Severity"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012693"", ""name"": ""Abnormal thalamic size"", ""score"": 85.71, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0032199"", ""name"": ""Abnormal prothrombin time"", ""score"": 85.71, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000650"", ""name"": ""Abnormal amplitude of pattern reversal visual evoked potentials"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001850"", ""name"": ""Abnormality of the tarsal bones"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002846"", ""name"": ""Abnormal B cell morphology"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line2,abnormal thalamic signal intensity,HP:0012696,Abnormal thalamic MRI signal intensity,95.0,fuzzy,"[{""hpo_id"": ""HP:0012696"", ""name"": ""Abnormal thalamic MRI signal intensity"", ""score"": 95.0, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001658"", ""name"": ""Myocardial infarction"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012824"", ""name"": ""Severity"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012693"", ""name"": ""Abnormal thalamic size"", ""score"": 85.71, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0032199"", ""name"": ""Abnormal prothrombin time"", ""score"": 85.71, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000650"", ""name"": ""Abnormal amplitude of pattern reversal visual evoked potentials"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001850"", ""name"": ""Abnormality of the tarsal bones"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002846"", ""name"": ""Abnormal B cell morphology"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line4,bilateral ptosis,HP:0001488,Bilateral ptosis,100.0,exact_key,"[{""hpo_id"": ""HP:0001488"", ""name"": ""Bilateral ptosis"", ""score"": 100.0, ""method"": ""exact_key""}, {""hpo_id"": ""HP:0007687"", ""name"": ""Unilateral ptosis"", ""score"": 90.91, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000508"", ""name"": ""Ptosis"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0001370"", ""name"": ""Rheumatoid arthritis"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0007911"", ""name"": ""Congenital bilateral ptosis"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012832"", ""name"": ""Bilateral"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0025275"", ""name"": ""Lateral"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000519"", ""name"": ""Developmental cataract"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line4,cytochrome c oxidase-negative muscle fibers,HP:0003688,Cytochrome C oxidase-negative muscle fibers,100.0,exact_key,"[{""hpo_id"": ""HP:0003688"", ""name"": ""Cytochrome C oxidase-negative muscle fibers"", ""score"": 100.0, ""method"": ""exact_key""}, {""hpo_id"": ""HP:0031353"", ""name"": ""Otitis media with effusion"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0003327"", ""name"": ""Axial muscle weakness"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0003808"", ""name"": ""Abnormal muscle tone"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0004303"", ""name"": ""Abnormal muscle fiber morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0006921"", ""name"": ""Axial muscle stiffness"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0011804"", ""name"": ""Abnormal muscle physiology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0011805"", ""name"": ""Abnormal skeletal muscle morphology"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line11,drooping of both upper eyelids,HP:0001488,Bilateral ptosis,100.0,exact_key,"[{""hpo_id"": ""HP:0001488"", ""name"": ""Bilateral ptosis"", ""score"": 100.0, ""method"": ""exact_key""}, {""hpo_id"": ""HP:0007911"", ""name"": ""Congenital bilateral ptosis"", ""score"": 95.0, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0500001"", ""name"": ""Body odor"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0007687"", ""name"": ""Unilateral ptosis"", ""score"": 86.21, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000483"", ""name"": ""Astigmatism"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000650"", ""name"": ""Abnormal amplitude of pattern reversal visual evoked potentials"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000878"", ""name"": ""11 pairs of ribs"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001501"", ""name"": ""6 metacarpals"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line12,seizure a,HP:0001250,Seizure,95.0,fuzzy,"[{""hpo_id"": ""HP:0001250"", ""name"": ""Seizure"", ""score"": 95.0, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007359"", ""name"": ""Focal-onset seizure"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000944"", ""name"": ""Abnormal metaphysis morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001592"", ""name"": ""Selective tooth agenesis"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002069"", ""name"": ""Bilateral tonic-clonic seizure"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002121"", ""name"": ""Generalized non-motor (absence) seizure"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007193"", ""name"": ""Bilateral tonic-clonic seizure on awakening"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007270"", ""name"": ""Atypical absence seizure"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line14,epilepsy,HP:0001250,Seizure,100.0,exact_key,"[{""hpo_id"": ""HP:0001250"", ""name"": ""Seizure"", ""score"": 100.0, ""method"": ""exact_key""}, {""hpo_id"": ""HP:0002123"", ""name"": ""Generalized myoclonic seizure"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0033258"", ""name"": ""Sudden unexpected death in epilepsy"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012847"", ""name"": ""Epilepsia partialis continua"", ""score"": 84.0, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0011097"", ""name"": ""Epileptic spasm"", ""score"": 77.14, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0011182"", ""name"": ""Interictal epileptiform activity"", ""score"": 77.14, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0033348"", ""name"": ""Epileptic aura"", ""score"": 77.14, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0200134"", ""name"": ""Epileptic encephalopathy"", ""score"": 77.14, ""method"": ""fuzzy""}]"
line23,a seizure,HP:0001250,Seizure,95.0,fuzzy,"[{""hpo_id"": ""HP:0001250"", ""name"": ""Seizure"", ""score"": 95.0, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0032678"", ""name"": ""Eyelid myoclonia seizure"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000944"", ""name"": ""Abnormal metaphysis morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001592"", ""name"": ""Selective tooth agenesis"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002069"", ""name"": ""Bilateral tonic-clonic seizure"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002121"", ""name"": ""Generalized non-motor (absence) seizure"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007193"", ""name"": ""Bilateral tonic-clonic seizure on awakening"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007270"", ""name"": ""Atypical absence seizure"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line24,drooping of both upper eyelids,HP:0001488,Bilateral ptosis,100.0,exact_key,"[{""hpo_id"": ""HP:0001488"", ""name"": ""Bilateral ptosis"", ""score"": 100.0, ""method"": ""exact_key""}, {""hpo_id"": ""HP:0007911"", ""name"": ""Congenital bilateral ptosis"", ""score"": 95.0, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0500001"", ""name"": ""Body odor"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0007687"", ""name"": ""Unilateral ptosis"", ""score"": 86.21, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000483"", ""name"": ""Astigmatism"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000650"", ""name"": ""Abnormal amplitude of pattern reversal visual evoked potentials"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000878"", ""name"": ""11 pairs of ribs"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001501"", ""name"": ""6 metacarpals"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line26,bilateral ptosis,HP:0001488,Bilateral ptosis,100.0,exact_key,"[{""hpo_id"": ""HP:0001488"", ""name"": ""Bilateral ptosis"", ""score"": 100.0, ""method"": ""exact_key""}, {""hpo_id"": ""HP:0007687"", ""name"": ""Unilateral ptosis"", ""score"": 90.91, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000508"", ""name"": ""Ptosis"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0001370"", ""name"": ""Rheumatoid arthritis"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0007911"", ""name"": ""Congenital bilateral ptosis"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012832"", ""name"": ""Bilateral"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0025275"", ""name"": ""Lateral"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000519"", ""name"": ""Developmental cataract"", ""score"": 85.5, ""method"": ""fuzzy""}]"
