doc_id,span_text,best_hpo_id,best_hpo_name,score,method,candidates_json
line1,abnormal thalamic signal intensity,HP:0012696,Abnormal thalamic MRI signal intensity,95.0,fuzzy,"[{""hpo_id"": ""HP:0012696"", ""name"": ""Abnormal thalamic MRI signal intensity"", ""score"": 95.0, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001658"", ""name"": ""Myocardial infarction"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012824"", ""name"": ""Severity"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012693"", ""name"": ""Abnormal thalamic size"", ""score"": 85.71, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0032199"", ""name"": ""Abnormal prothrombin time"", ""score"": 85.71, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000650"", ""name"": ""Abnormal amplitude of pattern reversal visual evoked potentials"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001850"", ""name"": ""Abnormality of the tarsal bones"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002846"", ""name"": ""Abnormal B cell morphology"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line1,eyelids were positioned lower than normal,HP:0012830,Position,90.0,contains,"[{""hpo_id"": ""HP:0012830"", ""name"": ""Position"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000178"", ""name"": ""Abnormal lower lip morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000303"", ""name"": ""Mandibular prognathia"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000492"", ""name"": ""Abnormal eyelid morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002522"", ""name"": ""Areflexia of lower limbs"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007646"", ""name"": ""Absent lower eyelashes"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0008464"", ""name"": ""Absent spinous processes of lower thoracic and lumbar vertebrae"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0009755"", ""name"": ""Ankyloblepharon"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line2,COX-deficient muscle fibers,,,0.0,,"[{""hpo_id"": ""HP:0004303"", ""name"": ""Abnormal muscle fiber morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0025591"", ""name"": ""Abnormal superior oblique muscle physiology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0025596"", ""name"": ""Abnormal inferior oblique muscle physiology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0025600"", ""name"": ""Abnormal inferior rectus muscle physiology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0025603"", ""name"": ""Abnormal superior rectus muscle physiology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0030096"", ""name"": ""Abnormal muscle fiber dystrophin expression"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0030228"", ""name"": ""Abnormal muscle fiber valosin-containing protein"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0030935"", ""name"": ""Abnormal intestinal smooth muscle morphology"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line2,abnormal thalamic signal intensity,HP:0012696,Abnormal thalamic MRI signal intensity,95.0,fuzzy,"[{""hpo_id"": ""HP:0012696"", ""name"": ""Abnormal thalamic MRI signal intensity"", ""score"": 95.0, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001658"", ""name"": ""Myocardial infarction"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012824"", ""name"": ""Severity"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012693"", ""name"": ""Abnormal thalamic size"", ""score"": 85.71, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0032199"", ""name"": ""Abnormal prothrombin time"", ""score"": 85.71, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000650"", ""name"": ""Abnormal amplitude of pattern reversal visual evoked potentials"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001850"", ""name"": ""Abnormality of the tarsal bones"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002846"", ""name"": ""Abnormal B cell morphology"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line3,seizure-like activity,HP:0001250,Seizure,90.0,contains,"[{""hpo_id"": ""HP:0001250"", ""name"": ""Seizure"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0003524"", ""name"": ""Decreased methionine synthase activity"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0003649"", ""name"": ""Abnormal glycosidase enzyme activity"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0003688"", ""name"": ""Cytochrome C oxidase-negative muscle fibers"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0004342"", ""name"": ""Abnormal galactosidase enyzme activity"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0004379"", ""name"": ""Abnormality of alkaline phosphatase level"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0011922"", ""name"": ""Abnormal activity of mitochondrial respiratory chain"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0012379"", ""name"": ""Abnormal circulating enzyme concentration or activity"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line3,a parkinsonian syndrome,HP:0031353,Otitis media with effusion,90.0,contains,"[{""hpo_id"": ""HP:0031353"", ""name"": ""Otitis media with effusion"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000567"", ""name"": ""Chorioretinal coloboma"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000944"", ""name"": ""Abnormal metaphysis morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002330"", ""name"": ""Paroxysmal drowsiness"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002953"", ""name"": ""Vertebral compression fracture"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0004401"", ""name"": ""Meconium ileus"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0005688"", ""name"": ""Dysplastic distal thumb phalanges with a central hole"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0008372"", ""name"": ""Abnormal circulating vitamin A concentration"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line4,bilateral ptosis,HP:0001488,Bilateral ptosis,100.0,exact_key,"[{""hpo_id"": ""HP:0001488"", ""name"": ""Bilateral ptosis"", ""score"": 100.0, ""method"": ""exact_key""}, {""hpo_id"": ""HP:0007687"", ""name"": ""Unilateral ptosis"", ""score"": 90.91, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000508"", ""name"": ""Ptosis"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0001370"", ""name"": ""Rheumatoid arthritis"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0007911"", ""name"": ""Congenital bilateral ptosis"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0012832"", ""name"": ""Bilateral"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0025275"", ""name"": ""Lateral"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000519"", ""name"": ""Developmental cataract"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line4,cytochrome c oxidase-negative muscle fibers,HP:0003688,Cytochrome C oxidase-negative muscle fibers,100.0,exact_key,"[{""hpo_id"": ""HP:0003688"", ""name"": ""Cytochrome C oxidase-negative muscle fibers"", ""score"": 100.0, ""method"": ""exact_key""}, {""hpo_id"": ""HP:0031353"", ""name"": ""Otitis media with effusion"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0003327"", ""name"": ""Axial muscle weakness"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0003808"", ""name"": ""Abnormal muscle tone"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0004303"", ""name"": ""Abnormal muscle fiber morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0006921"", ""name"": ""Axial muscle stiffness"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0011804"", ""name"": ""Abnormal muscle physiology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0011805"", ""name"": ""Abnormal skeletal muscle morphology"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line5,an increased lactate le,,,0.0,,"[{""hpo_id"": ""HP:0000287"", ""name"": ""Increased facial adipose tissue"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000468"", ""name"": ""Increased adipose tissue around the neck"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001631"", ""name"": ""Atrial septal defect"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002151"", ""name"": ""Increased circulating lactate concentration"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002922"", ""name"": ""Increased CSF protein concentration"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0004581"", ""name"": ""Increased anterior vertebral height"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0005253"", ""name"": ""Increased anterioposterior diameter of thorax"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0012707"", ""name"": ""Elevated brain lactate level by MRS"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line5,th an adult ons,,,0.0,,"[{""hpo_id"": ""HP:0000696"", ""name"": ""Delayed eruption of permanent teeth"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000802"", ""name"": ""Impotence"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001631"", ""name"": ""Atrial septal defect"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002636"", ""name"": ""Dilatation of an abdominal artery"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0004676"", ""name"": ""Prominent supraorbital arches in adult"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0005837"", ""name"": ""obsolete Joint dislocations in young adult"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0006291"", ""name"": ""Marked delay in eruption of permanent teeth"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0006321"", ""name"": ""Multiple non-erupting secondary teeth"", ""score"": 85.5, ""method"": ""fuzzy""}]"
