doc_id,span_text,best_hpo_id,best_hpo_name,score,method,candidates_json
line1,eyelids were positioned lower than normal,HP:0012830,Position,90.0,contains,"[{""hpo_id"": ""HP:0012830"", ""name"": ""Position"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000178"", ""name"": ""Abnormal lower lip morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000303"", ""name"": ""Mandibular prognathia"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000492"", ""name"": ""Abnormal eyelid morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002522"", ""name"": ""Areflexia of lower limbs"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007646"", ""name"": ""Absent lower eyelashes"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0008464"", ""name"": ""Absent spinous processes of lower thoracic and lumbar vertebrae"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0009755"", ""name"": ""Ankyloblepharon"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line3,seizure-like activity,HP:0001250,Seizure,90.0,contains,"[{""hpo_id"": ""HP:0001250"", ""name"": ""Seizure"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0003524"", ""name"": ""Decreased methionine synthase activity"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0003649"", ""name"": ""Abnormal glycosidase enzyme activity"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0003688"", ""name"": ""Cytochrome C oxidase-negative muscle fibers"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0004342"", ""name"": ""Abnormal galactosidase enyzme activity"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0004379"", ""name"": ""Abnormality of alkaline phosphatase level"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0011922"", ""name"": ""Abnormal activity of mitochondrial respiratory chain"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0012379"", ""name"": ""Abnormal circulating enzyme concentration or activity"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line3,a parkinsonian syndrome,HP:0031353,Otitis media with effusion,90.0,contains,"[{""hpo_id"": ""HP:0031353"", ""name"": ""Otitis media with effusion"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000567"", ""name"": ""Chorioretinal coloboma"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000944"", ""name"": ""Abnormal metaphysis morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002330"", ""name"": ""Paroxysmal drowsiness"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002953"", ""name"": ""Vertebral compression fracture"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0004401"", ""name"": ""Meconium ileus"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0005688"", ""name"": ""Dysplastic distal thumb phalanges with a central hole"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0008372"", ""name"": ""Abnormal circulating vitamin A concentration"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line5,d slowness of movement and a resting tr,HP:0001254,Lethargy,90.0,contains,"[{""hpo_id"": ""HP:0001254"", ""name"": ""Lethargy"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0002067"", ""name"": ""Bradykinesia"", ""score"": 85.71, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000878"", ""name"": ""11 pairs of ribs"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001501"", ""name"": ""6 metacarpals"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002330"", ""name"": ""Paroxysmal drowsiness"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0004691"", ""name"": ""2-3 toe syndactyly"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0011224"", ""name"": ""Ablepharon"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0030300"", ""name"": ""10 pairs of ribs"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line6,a pediatric-onset disorder,HP:0003674,Onset,90.0,contains,"[{""hpo_id"": ""HP:0003674"", ""name"": ""Onset"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000271"", ""name"": ""Abnormality of the face"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000567"", ""name"": ""Chorioretinal coloboma"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000944"", ""name"": ""Abnormal metaphysis morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002330"", ""name"": ""Paroxysmal drowsiness"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002953"", ""name"": ""Vertebral compression fracture"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0005688"", ""name"": ""Dysplastic distal thumb phalanges with a central hole"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007018"", ""name"": ""Attention deficit hyperactivity disorder"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line7,clinical syndrome resembling Parkinson's disea,HP:0031353,Otitis media with effusion,90.0,contains,"[{""hpo_id"": ""HP:0031353"", ""name"": ""Otitis media with effusion"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000528"", ""name"": ""Anophthalmia"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000840"", ""name"": ""Adrenogenital syndrome"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0005203"", ""name"": ""Spontaneous esophageal perforation"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007462"", ""name"": ""Bitot spots of the conjunctiva"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007616"", ""name"": ""Nevus flammeus nuchae"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0008207"", ""name"": ""Primary adrenal insufficiency"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0010628"", ""name"": ""Facial palsy"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line10,a pediatric-onset disorder,HP:0003674,Onset,90.0,contains,"[{""hpo_id"": ""HP:0003674"", ""name"": ""Onset"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000271"", ""name"": ""Abnormality of the face"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000567"", ""name"": ""Chorioretinal coloboma"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000944"", ""name"": ""Abnormal metaphysis morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002330"", ""name"": ""Paroxysmal drowsiness"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002953"", ""name"": ""Vertebral compression fracture"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0005688"", ""name"": ""Dysplastic distal thumb phalanges with a central hole"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007018"", ""name"": ""Attention deficit hyperactivity disorder"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line10,a deficiency in cytochrome c oxidase ,HP:0003688,Cytochrome C oxidase-negative muscle fibers,92.29,fuzzy,"[{""hpo_id"": ""HP:0003688"", ""name"": ""Cytochrome C oxidase-negative muscle fibers"", ""score"": 92.29, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0031353"", ""name"": ""Otitis media with effusion"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0002330"", ""name"": ""Paroxysmal drowsiness"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0002656"", ""name"": ""Epiphyseal dysplasia"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0003907"", ""name"": ""Abnormal humeral metaphysis morphology"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0010598"", ""name"": ""Abnormality of the proximal humeral epiphysis"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0010599"", ""name"": ""Abnormality of the distal humeral epiphysis"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0012145"", ""name"": ""Abnormality of multiple cell lineages in the bone marrow"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line10,n atypical thalamic signa,HP:0001658,Myocardial infarction,90.0,contains,"[{""hpo_id"": ""HP:0001658"", ""name"": ""Myocardial infarction"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0011856"", ""name"": ""Pica"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000061"", ""name"": ""Ambiguous genitalia, female"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001062"", ""name"": ""Atypical nevus"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001074"", ""name"": ""Atypical nevi in non-sun exposed areas"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0007270"", ""name"": ""Atypical absence seizure"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0012696"", ""name"": ""Abnormal thalamic MRI signal intensity"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0025040"", ""name"": ""Thalamic edema"", ""score"": 85.5, ""method"": ""fuzzy""}]"
line11,an atypical thalamic sign,HP:0001658,Myocardial infarction,90.0,contains,"[{""hpo_id"": ""HP:0001658"", ""name"": ""Myocardial infarction"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0011856"", ""name"": ""Pica"", ""score"": 90.0, ""method"": ""contains""}, {""hpo_id"": ""HP:0000061"", ""name"": ""Ambiguous genitalia, female"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0000609"", ""name"": ""Optic nerve hypoplasia"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001062"", ""name"": ""Atypical nevus"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001074"", ""name"": ""Atypical nevi in non-sun exposed areas"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0001631"", ""name"": ""Atrial septal defect"", ""score"": 85.5, ""method"": ""fuzzy""}, {""hpo_id"": ""HP:0003487"", ""name"": ""Babinski sign"", ""score"": 85.5, ""method"": ""fuzzy""}]"
